,Yearly adoption
1995,0.0
1996,1682.0
1997,1953.5
1998,3967.9999999999995
1999,3930.5
2000,3922.5
2001,5326.999999999999
2002,7839.000000000001
2003,10788.999999999998
2004,12418.999999999996
2005,8080.999999999999
2006,7431.0
2007,9992.999999999998
2008,5967.0
2009,12585.719999999998
2010,15485.48
2011,9571.6
2012,14136.669999999998
