Municipality,Year,pastures_area_munic_ha
Proença-a-Nova,2019,1598.0
Proença-a-Nova,2020,1598.0
Sertã,1995,235.2
Sertã,1996,257.9
Sertã,1997,280.6
Sertã,1998,303.29999999999995
Sertã,1999,326.0
Sertã,2000,327.3
Sertã,2001,328.6
Sertã,2002,329.9
Sertã,2003,331.2
Sertã,2004,332.5
Sertã,2005,333.8
Sertã,2006,335.1
Sertã,2007,336.4
Sertã,2008,337.7
Sertã,2009,339.0
Sertã,2010,340.3
Sertã,2011,341.6
Sertã,2012,342.9
Sertã,2013,344.2
Sertã,2014,345.5
Sertã,2015,346.8
Sertã,2016,348.1
Sertã,2017,349.4
Sertã,2018,350.7
Sertã,2019,352.0
Sertã,2020,352.0
Vila de Rei,1995,24.0
Vila de Rei,1996,28.0
Vila de Rei,1997,32.0
Vila de Rei,1998,36.0
Vila de Rei,1999,40.0
Vila de Rei,2000,38.3
Vila de Rei,2001,36.6
Vila de Rei,2002,34.9
Vila de Rei,2003,33.2
Vila de Rei,2004,31.5
Vila de Rei,2005,29.8
Vila de Rei,2006,28.1
Vila de Rei,2007,26.4
Vila de Rei,2008,24.700000000000003
Vila de Rei,2009,23.0
Vila de Rei,2010,21.3
Vila de Rei,2011,19.6
Vila de Rei,2012,17.9
Vila de Rei,2013,16.2
Vila de Rei,2014,14.5
Vila de Rei,2015,12.8
Vila de Rei,2016,11.1
Vila de Rei,2017,9.4
Vila de Rei,2018,7.700000000000001
Vila de Rei,2019,6.0
Vila de Rei,2020,6.0
Vila Velha de Ródão,1995,1329.0
Vila Velha de Ródão,1996,1415.0
Vila Velha de Ródão,1997,1501.0
Vila Velha de Ródão,1998,1587.0
Vila Velha de Ródão,1999,1673.0
Vila Velha de Ródão,2000,1683.0
Vila Velha de Ródão,2001,1693.0
Vila Velha de Ródão,2002,1703.0
Vila Velha de Ródão,2003,1713.0
Vila Velha de Ródão,2004,1723.0
Vila Velha de Ródão,2005,1733.0
Vila Velha de Ródão,2006,1743.0
Vila Velha de Ródão,2007,1753.0
Vila Velha de Ródão,2008,1763.0
Vila Velha de Ródão,2009,1773.0
Vila Velha de Ródão,2010,1783.0
Vila Velha de Ródão,2011,1793.0
Vila Velha de Ródão,2012,1803.0
Vila Velha de Ródão,2013,1813.0
Vila Velha de Ródão,2014,1823.0
Vila Velha de Ródão,2015,1833.0
Vila Velha de Ródão,2016,1843.0
Vila Velha de Ródão,2017,1853.0
Vila Velha de Ródão,2018,1863.0
Vila Velha de Ródão,2019,1873.0
Vila Velha de Ródão,2020,1873.0
Almeida,1995,14491.8
Almeida,1996,14848.6
Almeida,1997,15205.4
Almeida,1998,15562.2
Almeida,1999,15919.0
Almeida,2000,15628.8
Almeida,2001,15338.6
Almeida,2002,15048.4
Almeida,2003,14758.2
Almeida,2004,14468.0
Almeida,2005,14177.8
Almeida,2006,13887.6
Almeida,2007,13597.4
Almeida,2008,13307.2
Almeida,2009,13017.0
Almeida,2010,12726.8
Almeida,2011,12436.6
Almeida,2012,12146.4
Almeida,2013,11856.2
Almeida,2014,11566.0
Almeida,2015,11275.8
Almeida,2016,10985.6
Almeida,2017,10695.4
Almeida,2018,10405.2
Almeida,2019,10115.0
Almeida,2020,10115.0
Celorico da Beira,1995,3063.2
Celorico da Beira,1996,3379.9
Celorico da Beira,1997,3696.6
Celorico da Beira,1998,4013.2999999999997
Celorico da Beira,1999,4330.0
Celorico da Beira,2000,4276.7
Celorico da Beira,2001,4223.4
Celorico da Beira,2002,4170.1
Celorico da Beira,2003,4116.8
Celorico da Beira,2004,4063.5
Celorico da Beira,2005,4010.2
Celorico da Beira,2006,3956.9
Celorico da Beira,2007,3903.6
Celorico da Beira,2008,3850.3
Celorico da Beira,2009,3797.0
Celorico da Beira,2010,3743.7
Celorico da Beira,2011,3690.4
Celorico da Beira,2012,3637.1
Celorico da Beira,2013,3583.8
Celorico da Beira,2014,3530.5
Celorico da Beira,2015,3477.2
Celorico da Beira,2016,3423.9
Celorico da Beira,2017,3370.6
Celorico da Beira,2018,3317.3
Celorico da Beira,2019,3264.0
Celorico da Beira,2020,3264.0
Figueira de Castelo Rodrigo,1995,12538.6
Figueira de Castelo Rodrigo,1996,12472.7
Figueira de Castelo Rodrigo,1997,12406.8
Figueira de Castelo Rodrigo,1998,12340.9
Figueira de Castelo Rodrigo,1999,12275.0
Figueira de Castelo Rodrigo,2000,12031.1
Figueira de Castelo Rodrigo,2001,11787.2
Figueira de Castelo Rodrigo,2002,11543.3
Figueira de Castelo Rodrigo,2003,11299.4
Figueira de Castelo Rodrigo,2004,11055.5
Figueira de Castelo Rodrigo,2005,10811.6
Figueira de Castelo Rodrigo,2006,10567.7
Figueira de Castelo Rodrigo,2007,10323.8
Figueira de Castelo Rodrigo,2008,10079.9
Figueira de Castelo Rodrigo,2009,9836.0
Figueira de Castelo Rodrigo,2010,9592.1
Figueira de Castelo Rodrigo,2011,9348.2
Figueira de Castelo Rodrigo,2012,9104.3
Figueira de Castelo Rodrigo,2013,8860.4
Figueira de Castelo Rodrigo,2014,8616.5
Figueira de Castelo Rodrigo,2015,8372.6
Figueira de Castelo Rodrigo,2016,8128.7
Figueira de Castelo Rodrigo,2017,7884.8
Figueira de Castelo Rodrigo,2018,7640.9
Figueira de Castelo Rodrigo,2019,7397.0
Figueira de Castelo Rodrigo,2020,7397.0
Fornos de Algodres,1995,629.0
Fornos de Algodres,1996,661.5
Fornos de Algodres,1997,694.0
Fornos de Algodres,1998,726.5
Fornos de Algodres,1999,759.0
Fornos de Algodres,2000,741.8
Fornos de Algodres,2001,724.6
Fornos de Algodres,2002,707.4
Fornos de Algodres,2003,690.2
Fornos de Algodres,2004,673.0
Fornos de Algodres,2005,655.8
Fornos de Algodres,2006,638.6
Fornos de Algodres,2007,621.4
Fornos de Algodres,2008,604.2
Fornos de Algodres,2009,587.0
Fornos de Algodres,2010,569.8
Fornos de Algodres,2011,552.6
Fornos de Algodres,2012,535.4
Fornos de Algodres,2013,518.2
Fornos de Algodres,2014,501.0
Fornos de Algodres,2015,483.8
Fornos de Algodres,2016,466.6
Fornos de Algodres,2017,449.4
Fornos de Algodres,2018,432.20000000000005
Fornos de Algodres,2019,415.0
Fornos de Algodres,2020,415.0
Gouveia,1995,2039.8
Gouveia,1996,2156.6
Gouveia,1997,2273.4
Gouveia,1998,2390.2
Gouveia,1999,2507.0
Gouveia,2000,2528.1
Gouveia,2001,2549.2
Gouveia,2002,2570.3
Gouveia,2003,2591.4
Gouveia,2004,2612.5
Gouveia,2005,2633.6
Gouveia,2006,2654.7
Gouveia,2007,2675.8
Gouveia,2008,2696.9
Gouveia,2009,2718.0
Gouveia,2010,2739.1
Gouveia,2011,2760.2
Gouveia,2012,2781.3
Gouveia,2013,2802.4
Gouveia,2014,2823.5
Gouveia,2015,2844.6
Gouveia,2016,2865.7
Gouveia,2017,2886.8
Gouveia,2018,2907.9
Gouveia,2019,2929.0
Gouveia,2020,2929.0
Guarda,1995,12707.4
Guarda,1996,12630.8
Guarda,1997,12554.2
Guarda,1998,12477.6
Guarda,1999,12401.0
Guarda,2000,12384.6
Guarda,2001,12368.2
Guarda,2002,12351.8
Guarda,2003,12335.4
Guarda,2004,12319.0
Guarda,2005,12302.6
Guarda,2006,12286.2
Guarda,2007,12269.8
Guarda,2008,12253.4
Guarda,2009,12237.0
Guarda,2010,12220.6
Guarda,2011,12204.2
Guarda,2012,12187.8
Guarda,2013,12171.4
Guarda,2014,12155.0
Guarda,2015,12138.6
Guarda,2016,12122.2
Guarda,2017,12105.8
Guarda,2018,12089.4
Guarda,2019,12073.0
Guarda,2020,12073.0
Manteigas,1995,522.4
Manteigas,1996,584.8
Manteigas,1997,647.2
Manteigas,1998,709.6
Manteigas,1999,772.0
Manteigas,2000,704.9
Manteigas,2001,637.8
Manteigas,2002,570.7
Manteigas,2003,503.6
Manteigas,2004,436.5
Manteigas,2005,369.40000000000003
Manteigas,2006,302.30000000000007
Manteigas,2007,235.20000000000005
Manteigas,2008,168.10000000000002
Manteigas,2009,101.0
Manteigas,2010,90.9
Manteigas,2011,80.8
Manteigas,2012,70.7
Manteigas,2013,60.6
Manteigas,2014,50.5
Manteigas,2015,40.400000000000006
Manteigas,2016,30.299999999999997
Manteigas,2017,20.200000000000003
Manteigas,2018,10.100000000000009
Manteigas,2019,0.0
Manteigas,2020,0.0
Meda,1995,2154.8
Meda,1996,2200.1
Meda,1997,2245.4
Meda,1998,2290.7
Meda,1999,2336.0
Meda,2000,2301.2
Meda,2001,2266.4
Meda,2002,2231.6
Meda,2003,2196.8
Meda,2004,2162.0
Meda,2005,2127.2
Meda,2006,2092.4
Meda,2007,2057.6
Meda,2008,2022.8
Meda,2009,1988.0
Meda,2010,1953.2
Meda,2011,1918.4
Meda,2012,1883.6
Meda,2013,1848.8
Meda,2014,1814.0
Meda,2015,1779.2
Meda,2016,1744.4
Meda,2017,1709.6
Meda,2018,1674.8
Meda,2019,1640.0
Meda,2020,1640.0
Pinhel,1995,8138.0
Pinhel,1996,8648.5
Pinhel,1997,9159.0
Pinhel,1998,9669.5
Pinhel,1999,10180.0
Pinhel,2000,9935.1
Pinhel,2001,9690.2
Pinhel,2002,9445.3
Pinhel,2003,9200.4
Pinhel,2004,8955.5
Pinhel,2005,8710.6
Pinhel,2006,8465.7
Pinhel,2007,8220.8
Pinhel,2008,7975.9
Pinhel,2009,7731.0
Pinhel,2010,7486.1
Pinhel,2011,7241.2
Pinhel,2012,6996.3
Pinhel,2013,6751.4
Pinhel,2014,6506.5
Pinhel,2015,6261.6
Pinhel,2016,6016.7
Pinhel,2017,5771.8
Pinhel,2018,5526.9
Pinhel,2019,5282.0
Pinhel,2020,5282.0
Sabugal,1995,15698.2
Sabugal,1996,16318.400000000001
Sabugal,1997,16938.6
Sabugal,1998,17558.8
Sabugal,1999,18179.0
Sabugal,2000,17798.8
Sabugal,2001,17418.6
Sabugal,2002,17038.4
Sabugal,2003,16658.2
Sabugal,2004,16278.0
Sabugal,2005,15897.8
Sabugal,2006,15517.6
Sabugal,2007,15137.4
Sabugal,2008,14757.2
Sabugal,2009,14377.0
Sabugal,2010,13996.8
Sabugal,2011,13616.6
Sabugal,2012,13236.4
Sabugal,2013,12856.2
Sabugal,2014,12476.0
Sabugal,2015,12095.8
Sabugal,2016,11715.6
Sabugal,2017,11335.4
Sabugal,2018,10955.2
Sabugal,2019,10575.0
Sabugal,2020,10575.0
Seia,1995,1003.2
Seia,1996,1088.4
Seia,1997,1173.6
Seia,1998,1258.8000000000002
Seia,1999,1344.0
Seia,2000,1315.3
Seia,2001,1286.6
Seia,2002,1257.9
Seia,2003,1229.2
Seia,2004,1200.5
Seia,2005,1171.8
Seia,2006,1143.1
Seia,2007,1114.4
Seia,2008,1085.7
Seia,2009,1057.0
Seia,2010,1028.3
Seia,2011,999.6
Seia,2012,970.9
Seia,2013,942.2
Seia,2014,913.5
Seia,2015,884.8
Seia,2016,856.1
Seia,2017,827.4
Seia,2018,798.7
Seia,2019,770.0
Seia,2020,770.0
Trancoso,1995,4341.0
Trancoso,1996,4558.0
Trancoso,1997,4775.0
Trancoso,1998,4992.0
Trancoso,1999,5209.0
Trancoso,2000,5130.2
Trancoso,2001,5051.4
Trancoso,2002,4972.6
Trancoso,2003,4893.8
Trancoso,2004,4815.0
Trancoso,2005,4736.2
Trancoso,2006,4657.4
Trancoso,2007,4578.6
Trancoso,2008,4499.8
Trancoso,2009,4421.0
Trancoso,2010,4342.2
Trancoso,2011,4263.4
Trancoso,2012,4184.6
Trancoso,2013,4105.8
Trancoso,2014,4027.0
Trancoso,2015,3948.2
Trancoso,2016,3869.4
Trancoso,2017,3790.6
Trancoso,2018,3711.8
Trancoso,2019,3633.0
Trancoso,2020,3633.0
Mação,1995,146.4
Mação,1996,160.8
Mação,1997,175.2
Mação,1998,189.6
Mação,1999,204.0
Mação,2000,194.2
Mação,2001,184.4
Mação,2002,174.6
Mação,2003,164.8
Mação,2004,155.0
Mação,2005,145.2
Mação,2006,135.39999999999998
Mação,2007,125.6
Mação,2008,115.8
Mação,2009,106.0
Mação,2010,96.2
Mação,2011,86.4
Mação,2012,76.6
Mação,2013,66.8
Mação,2014,57.0
Mação,2015,47.199999999999996
Mação,2016,37.39999999999999
Mação,2017,27.599999999999994
Mação,2018,17.799999999999997
Mação,2019,8.0
Mação,2020,8.0
Alcobaça,1995,506.0
Alcobaça,1996,555.5
Alcobaça,1997,605.0
Alcobaça,1998,654.5
Alcobaça,1999,704.0
Alcobaça,2000,738.9
Alcobaça,2001,773.8
Alcobaça,2002,808.7
Alcobaça,2003,843.6
Alcobaça,2004,878.5
Alcobaça,2005,913.4
Alcobaça,2006,948.3
Alcobaça,2007,983.2
Alcobaça,2008,1018.0999999999999
Alcobaça,2009,1053.0
Alcobaça,2010,1087.9
Alcobaça,2011,1122.8
Alcobaça,2012,1157.7
Alcobaça,2013,1192.6
Alcobaça,2014,1227.5
Alcobaça,2015,1262.4
Alcobaça,2016,1297.3
Alcobaça,2017,1332.2
Alcobaça,2018,1367.1
Alcobaça,2019,1402.0
Alcobaça,2020,1402.0
Bombarral,1995,18.4
Bombarral,1996,17.299999999999997
Bombarral,1997,16.2
Bombarral,1998,15.1
Bombarral,1999,14.0
Bombarral,2000,25.1
Bombarral,2001,36.2
Bombarral,2002,47.3
Bombarral,2003,58.4
Bombarral,2004,69.5
Bombarral,2005,80.6
Bombarral,2006,91.7
Bombarral,2007,102.8
Bombarral,2008,113.89999999999999
Bombarral,2009,125.0
Bombarral,2010,136.1
Bombarral,2011,147.2
Bombarral,2012,158.3
Bombarral,2013,169.4
Bombarral,2014,180.5
Bombarral,2015,191.6
Bombarral,2016,202.7
Bombarral,2017,213.8
Bombarral,2018,224.89999999999998
Bombarral,2019,236.0
Bombarral,2020,236.0
Caldas da Rainha,1995,148.8
Caldas da Rainha,1996,167.6
Caldas da Rainha,1997,186.4
Caldas da Rainha,1998,205.20000000000002
Caldas da Rainha,1999,224.0
Caldas da Rainha,2000,223.0
Caldas da Rainha,2001,222.0
Caldas da Rainha,2002,221.0
Caldas da Rainha,2003,220.0
Caldas da Rainha,2004,219.0
Caldas da Rainha,2005,218.0
Caldas da Rainha,2006,217.0
Caldas da Rainha,2007,216.0
Caldas da Rainha,2008,215.0
Caldas da Rainha,2009,214.0
Caldas da Rainha,2010,213.0
Caldas da Rainha,2011,212.0
Caldas da Rainha,2012,211.0
Caldas da Rainha,2013,210.0
Caldas da Rainha,2014,209.0
Caldas da Rainha,2015,208.0
Caldas da Rainha,2016,207.0
Caldas da Rainha,2017,206.0
Caldas da Rainha,2018,205.0
Caldas da Rainha,2019,204.0
Caldas da Rainha,2020,204.0
Nazaré,1995,21.0
Nazaré,1996,24.5
Nazaré,1997,28.0
Nazaré,1998,31.5
Nazaré,1999,35.0
Nazaré,2000,37.8
Nazaré,2001,40.6
Nazaré,2002,43.4
Nazaré,2003,46.2
Nazaré,2004,49.0
Nazaré,2005,51.8
Nazaré,2006,54.599999999999994
Nazaré,2007,57.4
Nazaré,2008,60.2
Nazaré,2009,63.0
Nazaré,2010,65.8
Nazaré,2011,68.6
Nazaré,2012,71.4
Nazaré,2013,74.2
Nazaré,2014,77.0
Nazaré,2015,79.8
Nazaré,2016,82.6
Nazaré,2017,85.4
Nazaré,2018,88.2
Nazaré,2019,91.0
Nazaré,2020,91.0
Óbidos,1995,69.0
Óbidos,1996,70.0
Óbidos,1997,71.0
Óbidos,1998,72.0
Óbidos,1999,73.0
Óbidos,2000,79.4
Óbidos,2001,85.8
Óbidos,2002,92.2
Óbidos,2003,98.6
Óbidos,2004,105.0
Óbidos,2005,111.4
Óbidos,2006,117.80000000000001
Óbidos,2007,124.2
Óbidos,2008,130.6
Óbidos,2009,137.0
Óbidos,2010,143.4
Óbidos,2011,149.8
Óbidos,2012,156.2
Óbidos,2013,162.6
Óbidos,2014,169.0
Óbidos,2015,175.4
Óbidos,2016,181.8
Óbidos,2017,188.2
Óbidos,2018,194.6
Óbidos,2019,201.0
Óbidos,2020,201.0
Peniche,1995,138.2
Peniche,1996,139.4
Peniche,1997,140.6
Peniche,1998,141.8
Peniche,1999,143.0
Peniche,2000,137.2
Peniche,2001,131.4
Peniche,2002,125.6
Peniche,2003,119.8
Peniche,2004,114.0
Peniche,2005,108.2
Peniche,2006,102.4
Peniche,2007,96.6
Peniche,2008,90.80000000000001
Peniche,2009,85.0
Peniche,2010,79.2
Peniche,2011,73.4
Peniche,2012,67.6
Peniche,2013,61.8
Peniche,2014,56.0
Peniche,2015,50.2
Peniche,2016,44.4
Peniche,2017,38.6
Peniche,2018,32.800000000000004
Peniche,2019,27.0
Peniche,2020,27.0
Alenquer,1995,547.6
Alenquer,1996,548.2
Alenquer,1997,548.8
Alenquer,1998,549.4
Alenquer,1999,550.0
Alenquer,2000,565.6
Alenquer,2001,581.2
Alenquer,2002,596.8
Alenquer,2003,612.4
Alenquer,2004,628.0
Alenquer,2005,643.6
Alenquer,2006,659.2
Alenquer,2007,674.8
Alenquer,2008,690.4
Alenquer,2009,706.0
Alenquer,2010,721.6
Alenquer,2011,737.2
Alenquer,2012,752.8
Alenquer,2013,768.4
Alenquer,2014,784.0
Alenquer,2015,799.6
Alenquer,2016,815.2
Alenquer,2017,830.8
Alenquer,2018,846.4
Alenquer,2019,862.0
Alenquer,2020,862.0
Arruda dos Vinhos,1995,93.0
Arruda dos Vinhos,1996,95.5
Arruda dos Vinhos,1997,98.0
Arruda dos Vinhos,1998,100.5
Arruda dos Vinhos,1999,103.0
Arruda dos Vinhos,2000,125.5
Arruda dos Vinhos,2001,148.0
Arruda dos Vinhos,2002,170.5
Arruda dos Vinhos,2003,193.0
Arruda dos Vinhos,2004,215.5
Arruda dos Vinhos,2005,238.0
Arruda dos Vinhos,2006,260.5
Arruda dos Vinhos,2007,283.0
Arruda dos Vinhos,2008,305.5
Arruda dos Vinhos,2009,328.0
Arruda dos Vinhos,2010,350.5
Arruda dos Vinhos,2011,373.0
Arruda dos Vinhos,2012,395.5
Arruda dos Vinhos,2013,418.0
Arruda dos Vinhos,2014,440.5
Arruda dos Vinhos,2015,463.0
Arruda dos Vinhos,2016,485.5
Arruda dos Vinhos,2017,508.0
Arruda dos Vinhos,2018,530.5
Arruda dos Vinhos,2019,553.0
Arruda dos Vinhos,2020,553.0
Azambuja,1995,719.2
Azambuja,1996,726.9
Azambuja,1997,734.6
Azambuja,1998,742.3
Azambuja,1999,750.0
Azambuja,2000,1032.6
Azambuja,2001,1315.2
Azambuja,2002,1597.8000000000002
Azambuja,2003,1880.4
Azambuja,2004,2163.0
Azambuja,2005,2445.6000000000004
Azambuja,2006,2728.2000000000003
Azambuja,2007,3010.8
Azambuja,2008,3293.4
Azambuja,2009,3576.0
Azambuja,2010,3858.6
Azambuja,2011,4141.2
Azambuja,2012,4423.8
Azambuja,2013,4706.4
Azambuja,2014,4989.0
Azambuja,2015,5271.6
Azambuja,2016,5554.200000000001
Azambuja,2017,5836.8
Azambuja,2018,6119.4
Azambuja,2019,6402.0
Azambuja,2020,6402.0
Cadaval,1995,65.2
Cadaval,1996,65.4
Cadaval,1997,65.6
Cadaval,1998,65.8
Cadaval,1999,66.0
Cadaval,2000,68.4
Cadaval,2001,70.8
Cadaval,2002,73.2
Cadaval,2003,75.6
Cadaval,2004,78.0
Cadaval,2005,80.4
Cadaval,2006,82.8
Cadaval,2007,85.2
Cadaval,2008,87.6
Cadaval,2009,90.0
Cadaval,2010,92.4
Cadaval,2011,94.8
Cadaval,2012,97.2
Cadaval,2013,99.6
Cadaval,2014,102.0
Cadaval,2015,104.4
Cadaval,2016,106.8
Cadaval,2017,109.2
Cadaval,2018,111.6
Cadaval,2019,114.0
Cadaval,2020,114.0
Cascais,1995,184.8
Cascais,1996,180.1
Cascais,1997,175.4
Cascais,1998,170.7
Cascais,1999,166.0
Cascais,2000,154.0
Cascais,2001,142.0
Cascais,2002,130.0
Cascais,2003,118.0
Cascais,2004,106.0
Cascais,2005,94.0
Cascais,2006,82.0
Cascais,2007,70.0
Cascais,2008,58.0
Cascais,2009,46.0
Cascais,2010,41.4
Cascais,2011,36.8
Cascais,2012,32.2
Cascais,2013,27.6
Cascais,2014,23.0
Cascais,2015,18.400000000000002
Cascais,2016,13.800000000000004
Cascais,2017,9.200000000000003
Cascais,2018,4.600000000000001
Cascais,2019,0.0
Cascais,2020,0.0
Lisboa,1995,0.0
Lisboa,1996,0.0
Lisboa,1997,0.0
Lisboa,1998,0.0
Lisboa,1999,0.0
Lisboa,2000,0.7
Lisboa,2001,1.4
Lisboa,2002,2.0999999999999996
Lisboa,2003,2.8
Lisboa,2004,3.5
Lisboa,2005,4.199999999999999
Lisboa,2006,4.8999999999999995
Lisboa,2007,5.6
Lisboa,2008,6.3
Lisboa,2009,7.0
Lisboa,2010,7.7
Lisboa,2011,8.4
Lisboa,2012,9.1
Lisboa,2013,9.8
Lisboa,2014,10.5
Lisboa,2015,11.2
Lisboa,2016,11.899999999999999
Lisboa,2017,12.6
Lisboa,2018,13.3
Lisboa,2019,14.0
Lisboa,2020,14.0
Loures,1995,1511.2
Loures,1996,1523.9
Loures,1997,1536.6
Loures,1998,1549.3
Loures,1999,1562.0
Loures,2000,1493.2
Loures,2001,1424.4
Loures,2002,1355.6
Loures,2003,1286.8
Loures,2004,1218.0
Loures,2005,1149.2
Loures,2006,1080.4
Loures,2007,1011.6
Loures,2008,942.8000000000001
Loures,2009,874.0
Loures,2010,805.2
Loures,2011,736.4
Loures,2012,667.6
Loures,2013,598.8
Loures,2014,530.0
Loures,2015,461.20000000000005
Loures,2016,392.40000000000003
Loures,2017,323.6
Loures,2018,254.80000000000007
Loures,2019,186.0
Loures,2020,186.0
Lourinhã,1995,81.0
Lourinhã,1996,85.0
Lourinhã,1997,89.0
Lourinhã,1998,93.0
Lourinhã,1999,97.0
Lourinhã,2000,108.3
Lourinhã,2001,119.6
Lourinhã,2002,130.9
Lourinhã,2003,142.2
Lourinhã,2004,153.5
Lourinhã,2005,164.8
Lourinhã,2006,176.10000000000002
Lourinhã,2007,187.4
Lourinhã,2008,198.7
Lourinhã,2009,210.0
Lourinhã,2010,221.3
Lourinhã,2011,232.6
Lourinhã,2012,243.9
Lourinhã,2013,255.2
Lourinhã,2014,266.5
Lourinhã,2015,277.8
Lourinhã,2016,289.1
Lourinhã,2017,300.4
Lourinhã,2018,311.7
Lourinhã,2019,323.0
Lourinhã,2020,323.0
Mafra,1995,1297.6
Mafra,1996,1318.7
Mafra,1997,1339.8
Mafra,1998,1360.9
Mafra,1999,1382.0
Mafra,2000,1345.6
Mafra,2001,1309.2
Mafra,2002,1272.8
Mafra,2003,1236.4
Mafra,2004,1200.0
Mafra,2005,1163.6
Mafra,2006,1127.2
Mafra,2007,1090.8
Mafra,2008,1054.4
Mafra,2009,1018.0
Mafra,2010,981.6
Mafra,2011,945.2
Mafra,2012,908.8
Mafra,2013,872.4
Mafra,2014,836.0
Mafra,2015,799.6
Mafra,2016,763.2
Mafra,2017,726.8
Mafra,2018,690.4000000000001
Mafra,2019,654.0
Mafra,2020,654.0
Oeiras,1995,192.39999999999998
Oeiras,1996,155.3
Oeiras,1997,118.19999999999999
Oeiras,1998,81.09999999999997
Oeiras,1999,44.0
Oeiras,2000,40.7
Oeiras,2001,37.4
Oeiras,2002,34.1
Oeiras,2003,30.8
Oeiras,2004,27.5
Oeiras,2005,24.200000000000003
Oeiras,2006,20.900000000000002
Oeiras,2007,17.6
Oeiras,2008,14.3
Oeiras,2009,11.0
Oeiras,2010,9.9
Oeiras,2011,8.8
Oeiras,2012,7.699999999999999
Oeiras,2013,6.6
Oeiras,2014,5.5
Oeiras,2015,4.3999999999999995
Oeiras,2016,3.299999999999999
Oeiras,2017,2.1999999999999993
Oeiras,2018,1.0999999999999996
Oeiras,2019,0.0
Oeiras,2020,0.0
Sintra,1995,1767.0
Sintra,1996,1710.0
Sintra,1997,1653.0
Sintra,1998,1596.0
Sintra,1999,1539.0
Sintra,2000,1507.3
Sintra,2001,1475.6
Sintra,2002,1443.9
Sintra,2003,1412.2
Sintra,2004,1380.5
Sintra,2005,1348.8
Sintra,2006,1317.1
Sintra,2007,1285.4
Sintra,2008,1253.7
Sintra,2009,1222.0
Sintra,2010,1190.3
Sintra,2011,1158.6
Sintra,2012,1126.9
Sintra,2013,1095.2
Sintra,2014,1063.5
Sintra,2015,1031.8
Sintra,2016,1000.1
Sintra,2017,968.4
Sintra,2018,936.7
Sintra,2019,905.0
Sintra,2020,905.0
Sobral de Monte Agraço,1995,370.4
Sobral de Monte Agraço,1996,377.8
Sobral de Monte Agraço,1997,385.2
Sobral de Monte Agraço,1998,392.6
Sobral de Monte Agraço,1999,400.0
Sobral de Monte Agraço,2000,383.6
Sobral de Monte Agraço,2001,367.2
Sobral de Monte Agraço,2002,350.8
Sobral de Monte Agraço,2003,334.4
Sobral de Monte Agraço,2004,318.0
Sobral de Monte Agraço,2005,301.6
Sobral de Monte Agraço,2006,285.20000000000005
Sobral de Monte Agraço,2007,268.8
Sobral de Monte Agraço,2008,252.4
Sobral de Monte Agraço,2009,236.0
Sobral de Monte Agraço,2010,219.6
Sobral de Monte Agraço,2011,203.2
Sobral de Monte Agraço,2012,186.8
Sobral de Monte Agraço,2013,170.4
Sobral de Monte Agraço,2014,154.0
Sobral de Monte Agraço,2015,137.60000000000002
Sobral de Monte Agraço,2016,121.20000000000002
Sobral de Monte Agraço,2017,104.80000000000001
Sobral de Monte Agraço,2018,88.4
Sobral de Monte Agraço,2019,72.0
Sobral de Monte Agraço,2020,72.0
Torres Vedras,1995,545.6
Torres Vedras,1996,566.2
Torres Vedras,1997,586.8
Torres Vedras,1998,607.4
Torres Vedras,1999,628.0
Torres Vedras,2000,604.4
Torres Vedras,2001,580.8
Torres Vedras,2002,557.2
Torres Vedras,2003,533.6
Torres Vedras,2004,510.0
Torres Vedras,2005,486.4
Torres Vedras,2006,462.79999999999995
Torres Vedras,2007,439.2
Torres Vedras,2008,415.6
Torres Vedras,2009,392.0
Torres Vedras,2010,368.4
Torres Vedras,2011,344.8
Torres Vedras,2012,321.2
Torres Vedras,2013,297.6
Torres Vedras,2014,274.0
Torres Vedras,2015,250.39999999999998
Torres Vedras,2016,226.79999999999998
Torres Vedras,2017,203.2
Torres Vedras,2018,179.6
Torres Vedras,2019,156.0
Torres Vedras,2020,156.0
Vila Franca de Xira,1995,904.8
Vila Franca de Xira,1996,1005.6
Vila Franca de Xira,1997,1106.4
Vila Franca de Xira,1998,1207.1999999999998
Vila Franca de Xira,1999,1308.0
Vila Franca de Xira,2000,1485.0
Vila Franca de Xira,2001,1662.0
Vila Franca de Xira,2002,1839.0
Vila Franca de Xira,2003,2016.0
Vila Franca de Xira,2004,2193.0
Vila Franca de Xira,2005,2370.0
Vila Franca de Xira,2006,2547.0
Vila Franca de Xira,2007,2724.0
Vila Franca de Xira,2008,2901.0
Vila Franca de Xira,2009,3078.0
Vila Franca de Xira,2010,3255.0
Vila Franca de Xira,2011,3432.0
Vila Franca de Xira,2012,3609.0
Vila Franca de Xira,2013,3786.0
Vila Franca de Xira,2014,3963.0
Vila Franca de Xira,2015,4140.0
Vila Franca de Xira,2016,4317.0
Vila Franca de Xira,2017,4494.0
Vila Franca de Xira,2018,4671.0
Vila Franca de Xira,2019,4848.0
Vila Franca de Xira,2020,4848.0
Amadora,1995,132.8
Amadora,1996,130.1
Amadora,1997,127.4
Amadora,1998,124.7
Amadora,1999,122.0
Amadora,2000,114.7
Amadora,2001,107.4
Amadora,2002,100.1
Amadora,2003,92.8
Amadora,2004,85.5
Amadora,2005,78.2
Amadora,2006,70.9
Amadora,2007,63.6
Amadora,2008,56.3
Amadora,2009,49.0
Amadora,2010,44.1
