Municipality,Year,pastures_area_var,pastures_area_munic,pastures_area_mean,agric_area_mean,agric_area_owned,tract_100ha,lu_cattle,lu_per_agric_area,farmers_female,farmers_over65,educ_none,educ_second_super,agric_time_full,inc_excl_agric,inc_mainly_ext,work_unit_100ha
Almeida,2002,1.1560574633172005,0.6530913383503025,13.281906443071492,21.17,0.7677351595795467,2.65,0.5387135015447778,0.379,0.22488967343336277,0.46222418358340694,32.456,4.888999999999999,24.658,0.3466135458167331,0.3302563167808071,4.82
Almeida,2003,1.133763539986172,0.6536134706856692,13.703064066852368,21.96,0.7626420542618493,2.7,0.5454863249998481,0.382,0.23064066852367687,0.4648096564531105,30.868,5.462,24.204,0.3491589679088018,0.33506647652284827,4.56
Almeida,2004,1.1114696166551432,0.6541574354568883,14.170421155729677,22.75,0.7573359858932043,2.75,0.5526101153898776,0.385,0.23702252693437806,0.46767874632713025,29.28,6.035,23.75,0.35181082425283716,0.3400777682325813,4.3
Almeida,2005,1.0891756933241146,0.6547246312561765,14.6920207253886,23.54,0.7518033119983746,2.8,0.5601057502508217,0.388,0.24414507772020724,0.470880829015544,27.692,6.6080000000000005,23.296,0.35457593305810314,0.34530307648259495,4.04
Almeida,2006,1.066881769993086,0.655316578741235,15.277887788778878,24.33,0.746029199422429,2.85,0.5679959796046178,0.391,0.2521452145214521,0.4744774477447744,26.104,7.180999999999999,22.842,0.35746170760940343,0.350756410377403,3.7800000000000002
Almeida,2007,1.0445878466620573,0.6559349342492451,15.940679953106683,25.119999999999997,0.739997491533927,2.9,0.5763056328384362,0.394,0.26119577960140683,0.4785463071512309,24.516,7.754,22.388,0.360476222636012,0.35645302897278314,3.52
Almeida,2008,1.0222939233310286,0.6565815052744802,16.696612296110416,25.91,0.7336905572495731,2.95,0.5850618539944618,0.397,0.27151819322459225,0.4831869510664994,22.928,8.327,21.934,0.36362828976583084,0.3624095838637418,3.2600000000000002
Almeida,2009,1.0,0.6572582681141126,17.5668016194332,26.7,0.7270891189093663,3.0,0.5942943701085585,0.4,0.2834008097165992,0.4885290148448043,21.34,8.9,21.48,0.36692754354960866,0.36864428174703356,3.0
Almeida,2010,0.9777060766689712,0.6579673880450405,16.743586370214445,27.49,0.7201720554630712,2.98,0.6531785206886022,0.398,0.2881199842126036,0.4917773977108275,19.752,9.472999999999999,21.026,0.3666673559914386,0.3908471456784507,2.98
Almeida,2011,0.9554121533379427,0.6587112424656518,15.960728952772074,28.279999999999998,0.712916176735416,2.96,0.7154093021827473,0.396,0.2926078028747433,0.4948665297741273,18.164,10.046,20.572,0.3663944237878836,0.41413756210209635,2.96
Almeida,2012,0.933118230006914,0.6594924475235913,15.21533258173619,29.069999999999997,0.7052959636873025,2.94,0.7812459950325036,0.394,0.29688087185268697,0.49780784166353503,16.576,10.619,20.118000000000002,0.3661077870321102,0.43859744377721555,2.94
Almeida,2013,0.9108243066758854,0.6603138888579481,14.504771225838024,29.859999999999996,0.697283268543168,2.92,0.8509747394507887,0.392,0.3009542451676046,0.5006116956202593,14.988,11.192,19.664,0.36580638693652046,0.46431714136137314,2.92
